timestep,speed_mean,speed_std,speed_var,density_mean,density_std,density_var,flow_mean,flow_var,flow_std
0.0,9.156465876256526,1.5423246353988587,2.3787652809582225,1.8613206873986206,1.4477509135517288,2.0959827076898656,61.353945444539605,2240.8779862039605,47.33791277827911
300.0,8.859671199715827,1.2740186179179276,1.6231234388015063,3.608901582395244,2.6788119991166988,7.176033726611603,115.10457832313448,6661.921419829775,81.62059433641595
600.0,8.643544085647608,1.4254753295328133,2.0319799151066826,3.8759416052296323,2.967674445312725,8.80709161336219,120.60669889643077,7098.43766396703,84.25222646296672
900.0,8.653341743933064,1.4692325216971922,2.1586442028126904,3.8803644625912868,3.091203804995433,9.555540964018244,120.88119337586939,7517.673754342417,86.70451980342442
1200.0,8.650707645772906,1.4823875708677683,2.1974729102632424,3.8020356717695964,2.878581864967145,8.286233553317727,118.40484909254198,6802.29236961797,82.47601087357444
1500.0,8.594959195986238,1.4681191471434067,2.1553738302090837,3.798208005263049,3.0006718552977025,9.004031583175756,117.52471659175878,7194.6170357582605,84.82108839055451
1800.0,8.557059001747687,1.5820087749233953,2.5027517639346217,3.959913848917109,3.193510140960546,10.198507020417846,121.98548262045493,7242.935199905376,85.10543578353486
2100.0,8.655647985850324,1.4897069942248806,2.2192269286425286,3.951476873220416,3.0849094863046815,9.516666538692613,123.12819813015606,7654.0782756642175,87.48758926650235
2400.0,8.665698212511282,1.4719054975520809,2.166505793724039,3.874232298127999,3.120742965595668,9.739036657314845,120.86210107788062,7435.477867682419,86.22921701884124
2700.0,8.679208824900368,1.4284359899892916,2.0404293774966877,3.8803903775331907,2.911753361481682,8.478307638099874,121.24408842756,7119.794438510792,84.37887436148216
3000.0,8.680167621154425,1.4493159213181317,2.1005166397862247,3.9644546375388994,3.054982699123466,9.332919291943698,123.883701752052,7510.917956854209,86.66555230802034
3300.0,8.603085327835105,1.501145664354943,2.253438305611643,3.879182904840474,2.9721674471364263,8.83377933381746,120.14137911363592,7066.57850327228,84.0629436985898
